longitude,latitude,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,avg_rooms_per_hh,avg_bedrooms_per_hh,housing_median_age_cat,median_house_value
-122.23,37.88,880.0,129.0,322.0,126.0,8.3252,near bay,6.984126984126984,1.0238095238095237,new,452600.0
-122.24,37.85,1467.0,190.0,496.0,177.0,7.2574,near bay,8.288135593220339,1.073446327683616,old,352100.0
-122.25,37.85,1274.0,235.0,558.0,219.0,5.6431,near bay,5.8173515981735155,1.0730593607305936,old,341300.0
-122.25,37.85,1627.0,280.0,565.0,259.0,3.8462,near bay,6.281853281853282,1.0810810810810811,old,342200.0
-122.25,37.85,919.0,213.0,413.0,193.0,4.0368,near bay,4.761658031088083,1.1036269430051813,old,269700.0
-122.25,37.84,3104.0,687.0,1157.0,647.0,3.12,near bay,4.797527047913447,1.061823802163833,old,241400.0
-122.26,37.84,2555.0,665.0,1206.0,595.0,2.0804,near bay,4.294117647058823,1.1176470588235294,new,226700.0
-122.26,37.85,2202.0,434.0,910.0,402.0,3.2031,near bay,5.477611940298507,1.0796019900497513,old,281500.0
-122.26,37.85,3503.0,752.0,1504.0,734.0,3.2705,near bay,4.772479564032698,1.0245231607629428,old,241800.0
-122.26,37.85,2491.0,474.0,1098.0,468.0,3.075,near bay,5.322649572649572,1.0128205128205128,old,213500.0
-122.26,37.84,696.0,191.0,345.0,174.0,2.6736,near bay,4.0,1.0977011494252873,old,191300.0
-122.26,37.85,2643.0,626.0,1212.0,620.0,1.9167,near bay,4.262903225806451,1.0096774193548388,old,159200.0
-122.26,37.85,1120.0,283.0,697.0,264.0,2.125,near bay,4.242424242424242,1.071969696969697,old,140000.0
-122.27,37.85,1966.0,347.0,793.0,331.0,2.775,near bay,5.9395770392749245,1.0483383685800605,old,152500.0
-122.26,37.84,2239.0,455.0,990.0,419.0,1.9911,near bay,5.343675417661098,1.0859188544152745,old,158700.0
-122.27,37.84,1503.0,298.0,690.0,275.0,2.6033,near bay,5.465454545454546,1.0836363636363637,old,162900.0
-122.27,37.85,751.0,184.0,409.0,166.0,1.3578,near bay,4.524096385542169,1.108433734939759,new,147500.0
-122.27,37.85,1639.0,367.0,929.0,366.0,1.7135,near bay,4.478142076502732,1.0027322404371584,new,159800.0
-122.27,37.84,2436.0,541.0,1015.0,478.0,1.725,near bay,5.096234309623431,1.1317991631799162,old,113900.0
-122.27,37.84,1688.0,337.0,853.0,325.0,2.1806,near bay,5.193846153846154,1.0369230769230768,old,99700.0
-122.27,37.84,2224.0,437.0,1006.0,422.0,2.6,near bay,5.270142180094787,1.0355450236966826,old,132600.0
-122.28,37.85,535.0,123.0,317.0,119.0,2.4038,near bay,4.495798319327731,1.0336134453781514,new,107500.0
-122.28,37.85,1130.0,244.0,607.0,239.0,2.4597,near bay,4.7280334728033475,1.0209205020920502,new,93800.0
-122.28,37.85,1898.0,421.0,1102.0,397.0,1.808,near bay,4.7808564231738035,1.0604534005037782,old,105500.0
-122.28,37.84,2082.0,492.0,1131.0,473.0,1.6424,near bay,4.40169133192389,1.040169133192389,old,108900.0
-122.28,37.84,729.0,160.0,395.0,155.0,1.6875,near bay,4.703225806451613,1.032258064516129,old,132000.0
-122.28,37.84,1916.0,447.0,863.0,378.0,1.9274,near bay,5.068783068783069,1.1825396825396826,new,122300.0
-122.28,37.84,2153.0,481.0,1168.0,441.0,1.9615,near bay,4.882086167800454,1.090702947845805,old,115200.0
-122.27,37.84,1922.0,409.0,1026.0,335.0,1.7969,near bay,5.737313432835821,1.2208955223880598,new,110400.0
-122.27,37.83,1655.0,366.0,754.0,329.0,1.375,near bay,5.0303951367781155,1.1124620060790273,new,104900.0
-122.27,37.83,2665.0,574.0,1258.0,536.0,2.7303,near bay,4.972014925373134,1.0708955223880596,old,109700.0
-122.27,37.83,1215.0,282.0,570.0,264.0,1.4861,near bay,4.6022727272727275,1.0681818181818181,new,97200.0
-122.27,37.83,1798.0,432.0,987.0,374.0,1.0972,near bay,4.807486631016043,1.1550802139037433,new,104500.0
-122.26,37.83,1470.0,330.0,689.0,309.0,3.48,near bay,4.757281553398058,1.0679611650485437,old,191400.0
-122.26,37.83,2432.0,715.0,1377.0,696.0,2.5898,near bay,3.4942528735632186,1.0272988505747127,old,176000.0
-122.26,37.83,1665.0,419.0,946.0,395.0,2.0978,near bay,4.215189873417722,1.0607594936708862,old,155400.0
-122.26,37.83,936.0,311.0,517.0,249.0,1.2852,near bay,3.7590361445783134,1.248995983935743,old,150000.0
-122.26,37.84,713.0,202.0,462.0,189.0,1.025,near bay,3.7724867724867726,1.0687830687830688,new,118800.0
-122.26,37.84,950.0,202.0,467.0,198.0,3.9643,near bay,4.797979797979798,1.02020202020202,old,188800.0
-122.26,37.83,1443.0,311.0,660.0,292.0,3.0125,near bay,4.941780821917808,1.0650684931506849,old,184400.0
-122.26,37.83,1656.0,420.0,718.0,382.0,2.6768,near bay,4.335078534031414,1.0994764397905759,old,182300.0
-122.26,37.83,1125.0,322.0,616.0,304.0,2.026,near bay,3.700657894736842,1.0592105263157894,old,142500.0
-122.27,37.82,1007.0,312.0,558.0,253.0,1.7348,near bay,3.9802371541501977,1.233201581027668,new,137500.0
-122.26,37.82,624.0,195.0,423.0,160.0,0.9506,near bay,3.9,1.21875,new,187500.0
-122.27,37.82,946.0,375.0,700.0,352.0,1.775,near bay,2.6875,1.0653409090909092,new,112500.0
-122.27,37.82,896.0,453.0,735.0,438.0,0.9218,near bay,2.045662100456621,1.0342465753424657,new,171900.0
-122.27,37.82,1868.0,456.0,1061.0,407.0,1.5045,near bay,4.58968058968059,1.1203931203931203,new,93800.0
-122.27,37.82,3221.0,853.0,1959.0,720.0,1.1108,near bay,4.473611111111111,1.1847222222222222,new,97500.0
-122.27,37.82,1630.0,456.0,1162.0,400.0,1.2475,near bay,4.075,1.14,old,104200.0
-122.28,37.82,1170.0,235.0,701.0,233.0,1.6098,near bay,5.021459227467811,1.0085836909871244,old,87500.0
-122.28,37.82,945.0,243.0,576.0,220.0,1.4113,near bay,4.295454545454546,1.1045454545454545,old,83100.0
-122.28,37.82,1238.0,288.0,622.0,259.0,1.5057,near bay,4.77992277992278,1.111969111969112,old,87500.0
-122.28,37.82,1489.0,335.0,728.0,244.0,0.8172,near bay,6.102459016393443,1.3729508196721312,old,85300.0
-122.28,37.82,1387.0,341.0,1074.0,304.0,1.2171,near bay,4.5625,1.1217105263157894,old,80300.0
-122.29,37.83,1121.0,211.0,554.0,187.0,3.3929,near bay,5.994652406417113,1.1283422459893049,old,75700.0
-122.29,37.82,135.0,29.0,86.0,23.0,6.1183,near bay,5.869565217391305,1.2608695652173914,new,75000.0
-122.29,37.81,760.0,190.0,377.0,122.0,0.9011,near bay,6.229508196721311,1.5573770491803278,old,86100.0
-122.3,37.81,1224.0,237.0,521.0,159.0,1.1909999999999998,near bay,7.69811320754717,1.490566037735849,old,76100.0
-122.3,37.81,828.0,182.0,392.0,133.0,2.5938,near bay,6.225563909774436,1.368421052631579,new,73500.0
-122.3,37.81,1010.0,209.0,604.0,187.0,1.1667,near bay,5.401069518716578,1.1176470588235294,old,78400.0
-122.3,37.81,1455.0,354.0,788.0,332.0,0.8056,near bay,4.382530120481928,1.0662650602409638,new,84400.0
-122.29,37.8,1027.0,244.0,492.0,147.0,2.6094,near bay,6.98639455782313,1.6598639455782314,old,81300.0
-122.3,37.81,572.0,109.0,274.0,82.0,1.8516,near bay,6.975609756097561,1.329268292682927,old,85000.0
-122.29,37.81,2801.0,644.0,1823.0,611.0,0.9802,near bay,4.584288052373159,1.0540098199672667,new,129200.0
-122.29,37.81,768.0,152.0,392.0,127.0,1.7719,near bay,6.047244094488189,1.1968503937007875,new,82500.0
-122.29,37.81,935.0,297.0,582.0,277.0,0.7286,near bay,3.375451263537906,1.0722021660649819,new,95200.0
-122.29,37.81,844.0,204.0,560.0,152.0,1.75,near bay,5.552631578947368,1.3421052631578947,new,75000.0
-122.29,37.81,835.0,161.0,290.0,133.0,2.483,near bay,6.2781954887218046,1.2105263157894737,new,137500.0
-122.28,37.81,1237.0,462.0,762.0,439.0,0.9241,near bay,2.8177676537585423,1.0523917995444192,new,177500.0
-122.28,37.81,2914.0,562.0,1236.0,509.0,2.4464,near bay,5.724950884086444,1.1041257367387034,new,102100.0
-122.28,37.81,1207.0,243.0,721.0,207.0,1.1111,near bay,5.830917874396135,1.173913043478261,new,108300.0
-122.29,37.81,1745.0,374.0,1054.0,325.0,0.8026,near bay,5.369230769230769,1.1507692307692308,new,112500.0
-122.28,37.8,684.0,176.0,344.0,155.0,2.0114,near bay,4.412903225806452,1.135483870967742,new,131300.0
-122.28,37.81,924.0,289.0,609.0,289.0,1.5,near bay,3.1972318339100347,1.0,new,162500.0
-122.27,37.81,210.0,56.0,183.0,56.0,1.1667,near bay,3.75,1.0,old,112500.0
-122.28,37.81,340.0,97.0,200.0,87.0,1.5208,near bay,3.9080459770114944,1.1149425287356323,old,112500.0
-122.28,37.81,386.0,164.0,346.0,155.0,0.8075,near bay,2.490322580645161,1.0580645161290323,old,137500.0
-122.28,37.81,948.0,184.0,467.0,169.0,1.8088,near bay,5.609467455621302,1.0887573964497042,new,118800.0
-122.28,37.81,773.0,143.0,377.0,115.0,2.4083,near bay,6.721739130434782,1.2434782608695651,old,98200.0
-122.27,37.81,880.0,451.0,582.0,380.0,0.977,near bay,2.3157894736842106,1.186842105263158,new,118800.0
-122.27,37.81,875.0,348.0,546.0,330.0,0.76,near bay,2.6515151515151514,1.0545454545454545,new,162500.0
-122.27,37.8,105.0,42.0,125.0,39.0,0.9722,near bay,2.6923076923076925,1.0769230769230769,new,137500.0
-122.27,37.8,994.0,392.0,800.0,362.0,2.0938,near bay,2.74585635359116,1.0828729281767955,new,162500.0
-122.27,37.79,1055.0,347.0,718.0,302.0,2.6354,near bay,3.493377483443709,1.1490066225165563,new,187500.0
-122.27,37.8,1715.0,623.0,1327.0,467.0,1.8477,near bay,3.6723768736616704,1.3340471092077089,new,179200.0
-122.26,37.8,5329.0,2477.0,3469.0,2323.0,2.0096,near bay,2.294016358157555,1.066293585880327,new,130000.0
-122.26,37.82,4596.0,1331.0,2048.0,1180.0,2.8345,near bay,3.8949152542372882,1.1279661016949152,new,183800.0
-122.26,37.81,335.0,107.0,202.0,91.0,2.0062,near bay,3.681318681318681,1.1758241758241759,new,125000.0
-122.26,37.82,3682.0,1270.0,2024.0,1250.0,1.2185,near bay,2.9456,1.016,new,170000.0
-122.26,37.82,3633.0,1085.0,1838.0,980.0,2.6104,near bay,3.7071428571428573,1.1071428571428572,new,193100.0
-122.25,37.81,4656.0,1414.0,2304.0,1250.0,2.4912,near bay,3.7248,1.1312,new,257800.0
-122.25,37.81,5806.0,1603.0,2563.0,1497.0,3.2177,near bay,3.8784235136940546,1.070808283233133,new,273400.0
-122.25,37.81,854.0,242.0,389.0,228.0,3.125,near bay,3.745614035087719,1.0614035087719298,new,237500.0
-122.25,37.81,2155.0,701.0,895.0,613.0,2.5795,near bay,3.5154975530179446,1.1435562805872757,old,350000.0
-122.26,37.81,5871.0,1914.0,2689.0,1789.0,2.8406,near bay,3.281721632196758,1.0698714365567357,new,335700.0
-122.24,37.81,2026.0,482.0,709.0,456.0,3.2727,near bay,4.442982456140351,1.0570175438596492,old,268500.0
-122.25,37.81,1758.0,460.0,686.0,422.0,3.1691,near bay,4.165876777251185,1.0900473933649288,old,259400.0
-122.24,37.82,3481.0,751.0,1444.0,718.0,3.9,near bay,4.848189415041783,1.0459610027855153,old,275700.0
-122.25,37.82,3337.0,855.0,1520.0,802.0,3.9063,near bay,4.160847880299252,1.0660847880299251,new,225000.0
-122.25,37.82,1424.0,289.0,550.0,253.0,5.0917,near bay,5.628458498023716,1.1422924901185771,old,262500.0
-122.25,37.82,3809.0,1098.0,1806.0,1022.0,2.6429,near bay,3.7270058708414875,1.0743639921722115,new,218500.0
-122.25,37.83,2376.0,559.0,939.0,519.0,3.1484,near bay,4.578034682080925,1.0770712909441233,old,224100.0
-122.25,37.83,1613.0,428.0,675.0,422.0,3.4722,near bay,3.822274881516588,1.014218009478673,new,243100.0
-122.25,37.83,5022.0,1750.0,2558.0,1661.0,2.4234,near bay,3.0234798314268514,1.053582179409994,new,218500.0
-122.25,37.83,4190.0,1105.0,1786.0,1037.0,3.0897,near bay,4.040501446480231,1.0655737704918034,old,234100.0
-122.23,37.84,2515.0,399.0,970.0,373.0,5.8596,near bay,6.742627345844504,1.0697050938337802,old,327600.0
-122.24,37.83,2576.0,406.0,794.0,376.0,5.956,near bay,6.851063829787234,1.0797872340425532,new,366100.0
-122.24,37.85,334.0,54.0,98.0,47.0,4.9643,near bay,7.1063829787234045,1.148936170212766,new,335000.0
-122.23,37.85,2800.0,411.0,1061.0,403.0,6.3434,near bay,6.947890818858561,1.0198511166253101,old,373600.0
-122.24,37.84,3529.0,574.0,1177.0,555.0,5.1773,near bay,6.358558558558559,1.0342342342342343,old,389500.0
-122.22,37.85,5287.0,1048.0,2031.0,956.0,5.457000000000001,near bay,5.5303347280334725,1.096234309623431,new,337300.0
-122.21,37.84,3424.0,597.0,1358.0,597.0,6.0194,near bay,5.735343383584589,1.0,new,292300.0
-122.21,37.83,4991.0,674.0,1616.0,654.0,7.5544,near bay,7.631498470948012,1.0305810397553516,new,411500.0
-122.2,37.84,2211.0,346.0,844.0,343.0,6.0666,near bay,6.446064139941691,1.0087463556851313,new,311500.0
-122.19,37.84,1617.0,210.0,533.0,194.0,11.6017,near bay,8.335051546391753,1.0824742268041236,new,392600.0
-122.2,37.84,2865.0,460.0,1072.0,443.0,7.4882,near bay,6.467268623024831,1.0383747178329572,new,319300.0
-122.21,37.83,5065.0,788.0,1627.0,766.0,6.8976,near bay,6.6122715404699735,1.0287206266318538,new,333300.0
-122.2,37.83,1589.0,223.0,542.0,211.0,8.401,near bay,7.530805687203792,1.0568720379146919,new,351200.0
-122.19,37.83,1791.0,271.0,661.0,269.0,6.8538,near bay,6.657992565055762,1.0074349442379182,new,368900.0
-122.19,37.82,1835.0,264.0,635.0,263.0,8.317,near bay,6.977186311787072,1.0038022813688212,new,365900.0
-122.2,37.82,1229.0,181.0,420.0,176.0,7.0175,near bay,6.982954545454546,1.0284090909090908,new,366700.0
-122.2,37.82,3770.0,534.0,1265.0,500.0,6.3302,near bay,7.54,1.068,new,362800.0
